price,miles,fuel_type,exterior_color,interior_color,drivetrain,transmission,engine,model_name
15999,48054, Gasoline, Ruby Red Metallic Tinted Clearcoat, Charcoal Black, RWD,Manual,V2,Mustang
31795,29050, Gasoline, Glacier White, Gray, RWD,Auto,V6,Model Unknown
13998,7, Gasoline, Ingot Silver, Charcoal Black, FWD,Auto,V4,Fiesta
19237,10, Gasoline, Oxford White, Ebony, FWD,Auto,V4,Fusion
38868,3, Gasoline, Oxford White, Charcoal, Rear Wheel Drive,Auto,V3,Transit-350
12997,132434, Gasoline, Silver Birch Metallic, Gray, AWD,Auto,V3,Model Unknown
19431,12, Gasoline, Diamond White - White, Medium Stone Cloth, Four Wheel Drive,Auto,V2,EcoSport
23347,3, Electric, Lightning Blue, Ebony, FWD,CVT,V4,Fusion Hybrid
33000,19351, Gasoline, Ingot Silver Metallic, Charcoal, RWD,Auto,V2,Transit-350
33993,11, E85 Flex Fuel, Oxford White, Pewter, RWD,Auto,V2,Transit-250
27988,31591, Gasoline, Oxford White, Pewter, RWD,Auto,V3,Model Unknown
44810,200, Gasoline, Magnetic Metallic, Ebony Black, 4WD,Auto,V2,Explorer
13831,5, Gasoline, Magnetic Metallic, Cloth Standard Bucket Seats Charcoal Black, FWD,Auto,V2,Focus
31004,1, Gasoline, Stone Gray, Dune, AWD,Auto,V2,Edge
66888,51, Diesel, White, Black, 4WD,Auto,V2,F-350
7997,116283, E85 Flex Fuel, Tuxedo Black Metallic, Medium Light Stone, FWD,Auto,V3,Fusion
43624,14, E85 Flex Fuel, Oxford White, Medium Earth Gray, 4WD,Auto,V2,F-250
49123,5, Gasoline, Ingot Silver, Ebony, 4WD,Auto,V2,Expedition Max
14990,107855, Gasoline, Black, Tan, AWD,Auto,V3,Flex
11488,32255, E85 Flex Fuel, Magnetic, Charcoal Black, FWD,Auto,V2,Focus
38385,1, Gasoline, Oxford White, Pewter, RWD,Auto,V2,Transit-250
49997,31958, Diesel, Shadow Black, Black, 4WD,Auto,V6,F-350
30498,6, Gasoline, Blue, Ebony Black, 4WD,Auto,V2,Explorer
33180,10, Gasoline, White Platinum Metallic Tri-Coat, Ebony, AWD,Auto,V4,Edge
13000,75632, Gasoline, Deep Impact Blue Metallic, Charcoal Black, FWD,Auto,V3,Edge
29271,11, Gasoline, Oxford White, DK EARTH GRY CLTH FRT ST, 4WD,Auto,V3,F-150
24997,40002, Gasoline, Magnetic Metallic, Ebony, RWD,Auto,V2,Mustang
49262,3, Diesel, Oxford White - White, Medium Earth Gray Cloth, Four Wheel Drive,Auto,V6,F-350
15990,78403, Gasoline, Magnetic Metallic, Charcoal Black, AWD,Auto,V6,Taurus
34990,11, Gasoline, Magma Red, Medium Earth Gray, 4WD,Auto,V2,F-150
50881,17, Gasoline, Agate Black Metallic, Ebony Black, 4WD,Auto,V2,Explorer
6999,65637, Gasoline, Oxford White, Black, FWD,Auto,V4,Fiesta
16431,3, Gasoline, Lightning Blue, Charcoal Black, FWD,Auto,V4,Focus
27999,45872, Gasoline, Ruby Red Metallic Tinted Clearcoat, Ebony Black, 4WD,Auto,V2,Explorer
22798,8, Gasoline, Ruby Red Metallic Tinted Clearcoat, Ebony Black, 4WD,Auto,V2,EcoSport
57745,8, Gasoline, Ingot Silver, Black, 4WD,Auto,V6,F-150
25495,12, Gasoline, Blue Metallic, Light Putty, FWD,Auto,V4,Fusion
16320,2, Gasoline, Magnetic, Charcoal Black, FWD,Auto,V4,Focus
28135,6, E85 Flex Fuel, Baltic Sea Green Metallic, Medium Light Stone, 4WD,Auto,V4,Escape
18990,59769, Gasoline, Shadow Black, Ebony, RWD,Auto,V2,Mustang
18667,2002, Gasoline, Burgundy Velvet Metallic Tinted Clearcoat, Ebony, FWD,Auto,V4,Fusion
9217,89268, Hybrid, Ruby Red Metallic Tinted Clearcoat, Medium Light Stone, FWD,CVT,V2,C-Max Hybrid
19861,27343, Gasoline, Shadow Black, Ebony, FWD,Auto,V2,Fusion
22830,64643, Gasoline, Magnetic Metallic, Charcoal Black, AWD,Auto,V3,Flex
20790,17156, Gasoline, Ruby Red Metallic Tinted Clearcoat, Ebony, RWD,Auto,V4,Mustang
14000,42979, Gasoline, Ruby Red Tinted Clearcoat, Charcoal Black, FWD,Auto,V4,Fusion
31700,28305, Gasoline, Oxford White, Pewter, RWD,Auto,V2,Transit-250
