price,price2,miles,fuel type,exterior color,interior color,drivetrain,transmission,engine,VIN,name,seller_address,id,model_name
"$27,116",,186 miles, Gasoline, Shadow Black,, RWD, 10-Speed Automatic, 2.3L I4 16V GDI DOHC Turbo, 1FATP8UH5J5184692,New 2018 Ford Mustang EcoBoost,"12836 Hwy 21, De Soto, MO 63020",745411027,Mustang
"$15,999",,"48,054 miles", Gasoline, Ruby Red Metallic Tinted Clearcoat, Charcoal Black, RWD, 6-Speed Manual, 3.7L V6 24V MPFI DOHC, 1ZVBP8AM5E5271728,Certified 2014 Ford Mustang V6 Premium,"2500 Wildcat Dr, Lincoln, NE 68521",756325094,Mustang
"$31,795",,"29,050 miles", Gasoline, Glacier White, Gray, RWD, 5-Speed Automatic, V6, 1N6BF0LY1HN807941,New 2017 Nissan SV,"1025 SE Oldham Pkwy, Lee's Summit, MO 64081",722483803,Model Unknown
"$13,998",,7 miles, Gasoline, Ingot Silver, Charcoal Black, FWD, 6-Speed Automatic with Auto-Shift, 1.6L I4 16V MPFI DOHC, 3FADP4BJ6JM146711,New 2018 Ford Fiesta SE,"807 Southwest Blvd, Jefferson City, MO 65109",751728118,Fiesta
"$31,705",,, Gasoline, Shadow Black, Ebony, RWD, 10-Speed Automatic, 2.3L I4 16V GDI DOHC Turbo, 1FA6P8TH0K5134654,New 2019 Ford Mustang,"255 John Deere Dr, Moscow Mills, MO 63362",751763029,Mustang
"$19,237",,10 miles, Gasoline, Oxford White, Ebony, FWD, 6-Speed Automatic, 1.5L I4 16V GDI DOHC Turbo, 3FA6P0HD8JR229983,New 2018 Ford Fusion SE,"9809 Indianapolis Blvd, Highland, IN 46322",740126520,Fusion
"$38,868",,3 miles, Gasoline, Oxford White, Charcoal, Rear Wheel Drive, Automatic, 3.5L V6 Turbocharged, 1FTBW2CG3JKA78788,New 2018 Ford Transit-350 Base,"8501 N Boardwalk Ave, Kansas City, MO 64154",732241694,Transit-350
"$12,997",,"132,434 miles", Gasoline, Silver Birch Metallic, Gray, AWD, Automatic, 5.3L, 1GDFH15T751187410,Used 2005 GMC YF7 Upfitter,"17651 Oak Park Ave, Tinley Park, IL 60477",750681703,Model Unknown
"$19,431",,12 miles, Gasoline, Diamond White - White, Medium Stone Cloth, Four Wheel Drive, Automatic, 2.0L, MAJ6P1SL3JC207586,New 2018 Ford EcoSport S,"7466 S Lindbergh Blvd, St. Louis, MO 63125",745028770,EcoSport
"$23,347",,3 miles, Electric, Lightning Blue, Ebony, FWD, eCVT, I4, 3FA6P0LUXJR274303,New 2018 Ford Fusion Hybrid SE,"1940 E Main St, Waukesha, WI 53186",744899775,Fusion Hybrid
"$19,695",,"27,384 miles", Gasoline, Bronze Fire Metallic Tint, CHARCOAL BLACK LEATHER, ALL WHEEL, AUTOMATIC,, 3FA6P0T99GR301611,Used 2016 Ford Fusion SE,"2500 N Maple Ln, Sioux Falls, SD 57107",756315190,Fusion
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"$33,000",,"19,351 miles", Gasoline, Ingot Silver Metallic, Charcoal, RWD, 6-Speed Automatic with Overdrive, EcoBoost 3.5L V6 GTDi DOHC 24V Twin Turbocharged, 1FBAX2CG9JKA74502,Used 2018 Ford Transit-350 XLT,"4501 South 4th Trafficway, Leavenworth, KS 66048",753822417,Transit-350
